filepath,label
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper722.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes29.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_246.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1924.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass185.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological895.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper633.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper954.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_321.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes725.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_220.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_307.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological565.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic107.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological251.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper194.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper826.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper464.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic679.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\trash675.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic240.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes187.jpg,3
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery54.jpg,2
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper854.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes428.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1043.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass198.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper878.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper804.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper223.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic412.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper1049.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper616.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological514.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological611.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes737.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper968.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard204.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper793.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes162.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1977.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass390.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes78.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic340.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper49.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes801.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological544.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper600.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper535.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological487.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes210.jpg,3
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery943.jpg,2
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes837.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal373.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes268.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological330.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes167.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic780.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper212.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes576.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes539.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard11.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic670.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes293.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological818.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic420.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic450.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic402.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass193.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper432.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper673.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper589.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes395.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological382.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass15.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard74.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass78.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass73.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes202.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass753.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass379.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass467.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes434.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic665.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes81.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes369.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass425.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes702.jpg,3
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery758.jpg,2
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes399.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes230.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass614.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\trash262.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass205.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper787.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper179.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal254.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic251.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes633.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic54.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic237.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes298.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic49.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes578.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper1009.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological813.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic347.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard259.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic546.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass443.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal249.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological362.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper39.jpg,0
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery891.jpg,2
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard218.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal218.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass332.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes228.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard70.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass50.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\trash252.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass243.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass192.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological751.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic111.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological236.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological827.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal52.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic457.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic189.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological210.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper858.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes635.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological386.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological952.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic137.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes447.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes544.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes470.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass325.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological529.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper986.jpg,0
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery839.jpg,2
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass193.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper42.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass202.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass184.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass146.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological445.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass93.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic196.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_389.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological901.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper823.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes496.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes611.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes367.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological363.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological791.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard163.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper853.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper710.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic126.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes721.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper839.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass735.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal30.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard310.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological788.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper717.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal206.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass617.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes438.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes452.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass630.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal355.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_338.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic95.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological709.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological783.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1035.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic172.jpg,0
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery832.jpg,2
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper604.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass221.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass185.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard284.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass699.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes795.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_376.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\brown-glass229.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic2.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper637.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes332.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological882.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes579.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes336.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass447.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes844.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological608.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes188.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1969.jpg,3
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological934.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes832.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass498.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1952.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper225.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes296.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass196.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic781.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper182.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes445.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass27.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological235.jpg,1
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological789.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes688.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_353.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper875.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes1949.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic24.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper619.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological851.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal234.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass40.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological505.jpg,1
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes18.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\cardboard83.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass257.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal_258.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes623.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\green-glass156.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\shoes17.jpg,3
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes471.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass335.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological247.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\paper609.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\plastic40.jpg,0
data\raw\Residuos contenedores\VERDE (Secos reciclables)\white-glass111.jpg,0
data\raw\Residuos contenedores\NEGRO (Humedos rechazo)\biological948.jpg,1
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal29.jpg,0
data\raw\Residuos contenedores\MARRON (Textil especial)\clothes622.jpg,3
data\raw\Residuos contenedores\VERDE (Secos reciclables)\metal281.jpg,0
data\raw\Residuos contenedores\AMARILLO (Electronicos rechazo parcial)\battery921.jpg,2
